"date","bus","rail_boardings","total_rides"
2023-04-12,"516,841","388,965","905,806"
2023-04-13,"541,076","386,440","927,516"
2023-04-14,"518,497","353,807","872,304"
2023-04-15,"360,082","254,964","615,046"
2023-04-16,"229,968","157,603","387,571"
2023-04-17,"458,530","310,077","768,607"
2023-04-18,"523,866","378,471","902,337"
2023-04-19,"527,267","380,103","907,370"
2023-04-20,"516,298","393,967","910,265"
2023-04-21,"505,681","360,742","866,423"
2023-04-22,"329,493","240,134","569,627"
2023-04-23,"245,927","174,185","420,112"
2023-04-24,"502,642","328,298","830,940"
2023-04-25,"516,696","378,228","894,924"
2023-04-26,"539,161","388,688","927,849"
2023-04-27,"532,971","395,661","928,632"
2023-04-28,"503,332","340,242","843,574"
2023-04-29,"331,120","224,434","555,554"
2023-04-30,"238,929","165,311","404,240"
2023-05-01,"482,348","315,630","797,978"
2023-05-02,"530,573","372,211","902,784"
2023-05-03,"555,155","381,538","936,693"
2023-05-04,"542,958","391,265","934,223"
2023-05-05,"518,792","367,635","886,427"
2023-05-06,"354,490","259,476","613,966"
2023-05-07,"281,403","198,280","479,683"
2023-05-08,"469,174","325,860","795,034"
2023-05-09,"548,033","396,388","944,421"
2023-05-10,"544,618","397,870","942,488"
2023-05-11,"533,940","384,804","918,744"
2023-05-12,"481,927","328,362","810,289"
2023-05-13,"344,247","221,075","565,322"
2023-05-14,"233,363","156,364","389,727"
2023-05-15,"486,638","320,403","807,041"
2023-05-16,"533,948","384,145","918,093"
2023-05-17,"527,429","382,604","910,033"
2023-05-18,"525,435","390,005","915,440"
2023-05-19,"486,435","337,006","823,441"
2023-05-20,"354,750","241,214","595,964"
2023-05-21,"273,007","193,053","466,060"
2023-05-22,"499,608","333,292","832,900"
2023-05-23,"537,810","406,630","944,440"
2023-05-24,"535,858","401,039","936,897"
2023-05-25,"528,009","395,099","923,108"
2023-05-26,"497,832","356,184","854,016"
2023-05-27,"340,968","290,957","631,925"
2023-05-28,"273,385","247,157","520,542"
2023-05-29,"269,683","209,702","479,385"
2023-05-30,"517,974","382,375","900,349"
2023-05-31,"517,111","389,469","906,580"
2023-06-01,"544,178","393,187","937,365"
2023-06-02,"514,354","386,122","900,476"
2023-06-03,"371,914","300,646","672,560"
2023-06-04,"278,304","238,509","516,813"
2023-06-05,"511,045","350,028","861,073"
2023-06-06,"522,067","389,250","911,317"
2023-06-07,"535,180","390,851","926,031"
2023-06-08,"493,065","387,473","880,538"
2023-06-09,"476,837","381,247","858,084"
2023-06-10,"379,556","320,326","699,882"
